教科名,学年,科目,区分,単位数
国語表現,4,一般,必修,1
体育Ⅱ,4,一般,必修,1
英語演習ⅠＡ,4,一般,必修選択,1
英会話ⅠＡ,4,一般,必修選択,1
英語演習ⅠＢ,4,一般,必修選択,1
英会話ⅠＢ,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
中国語ⅠA,4,一般,選択,1
中国語ⅠB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語ⅡＡ,4,一般,必修（留学生）,1
日本語ⅡＢ,4,一般,必修（留学生）,1
ドイツ語ⅡA,4,一般,選択,1
ドイツ語ⅡB,4,一般,選択,1
応用物理実験,4,専門,必修,1
材料力学Ⅰ,4,専門,必修,2
材料力学Ⅱ,4,専門,必修,2
機械設計工学Ⅰ,4,専門,必修,2
電子回路Ⅰ,4,専門,必修,2
電子回路Ⅱ,4,専門,必修,2
情報処理Ⅰ,4,専門,必修,2
情報処理Ⅱ,4,専門,必修,2
制御工学Ⅰ,4,専門,必修,2
制御工学Ⅱ,4,専門,必修,2
工業英語演習,4,専門,必修,1
実験実習Ⅴ,4,専門,必修,2
課題研究,4,専門,必修,2
応用数学B,4,専門,必修選択,2
応用数学C,4,専門,必修選択,2
応用数学A,4,専門,必修選択,2
電気回路Ⅳ,4,専門,選択,1
電磁気学Ⅳ,4,専門,選択,1
電子工学Ⅲ,4,専門,選択,1
電子工学Ⅳ,4,専門,選択,1
学外実習,4,専門,選択,2
体育Ⅲ,5,一般,必修,1
日本語ⅢA,5,一般,必修（留学生）,1
日本語ⅢB,5,一般,必修（留学生）,1
英語演習Ⅱ,5,一般,必修選択,1
英会話Ⅱ,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語ⅢA,5,一般,選択,1
中国語ⅡA,5,一般,選択,1
ドイツ語ⅢB,5,一般,選択,1
中国語ⅡB,5,一般,選択,1
日本文化論,5,一般,選択,1
統計学,5,専門,必修,2
材料力学Ⅲ,5,専門,必修,2
機械設計工学Ⅱ,5,専門,必修,2
電子回路Ⅲ,5,専門,必修,2
情報工学,5,専門,必修,2
制御工学Ⅲ,5,専門,必修,2
制御工学Ⅳ,5,専門,必修,2
制御機器,5,専門,必修,2
卒業研究,5,専門,必修,8
応用物理,5,専門,選択,1
流体力学,5,専門,選択,1
熱力学,5,専門,選択,1
電子回路Ⅳ,5,専門,選択,1
計算機制御工学,5,専門,選択,1
ロボット工学Ⅰ,5,専門,選択,1
ロボット工学Ⅱ,5,専門,選択,1
システム工学,5,専門,選択,1
